Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50.0009685933616
US National,Season onset,Bin,week,40,41,1.66185053924821e-05
US National,Season onset,Bin,week,41,42,1.1603453469307e-05
US National,Season onset,Bin,week,42,43,5.40838932891429e-06
US National,Season onset,Bin,week,43,44,2.65502748873975e-06
US National,Season onset,Bin,week,44,45,5.60505803178389e-06
US National,Season onset,Bin,week,45,46,1.37668092008727e-05
US National,Season onset,Bin,week,46,47,2.24202321271356e-05
US National,Season onset,Bin,week,47,48,4.03170840882701e-05
US National,Season onset,Bin,week,48,49,6.21473101067969e-05
US National,Season onset,Bin,week,49,50,8.9385925454238e-05
US National,Season onset,Bin,week,50,51,0.99915157121582
US National,Season onset,Bin,week,51,52,0.000133341380545596
US National,Season onset,Bin,week,52,53,0.000114559519421548
US National,Season onset,Bin,week,1,2,7.94541559593226e-05
US National,Season onset,Bin,week,2,3,4.02187497368353e-05
US National,Season onset,Bin,week,3,4,3.44170230021819e-05
US National,Season onset,Bin,week,4,5,3.67770474366171e-05
US National,Season onset,Bin,week,5,6,4.03170840882701e-05
US National,Season onset,Bin,week,6,7,2.5763600075919e-05
US National,Season onset,Bin,week,7,8,1.89785298269174e-05
US National,Season onset,Bin,week,8,9,1.76018489068301e-05
US National,Season onset,Bin,week,9,10,1.77001832582649e-05
US National,Season onset,Bin,week,10,11,1.15051191178722e-05
US National,Season onset,Bin,week,11,12,5.21172062604468e-06
US National,Season onset,Bin,week,12,13,1.47501527152208e-06
US National,Season onset,Bin,week,13,14,3.93337405739221e-07
US National,Season onset,Bin,week,14,15,9.83343514348053e-08
US National,Season onset,Bin,week,15,16,9.83343514348053e-08
US National,Season onset,Bin,week,16,17,9.83343514348053e-08
US National,Season onset,Bin,week,17,18,9.83343514348053e-08
US National,Season onset,Bin,week,18,19,9.83343514348053e-08
US National,Season onset,Bin,week,19,20,9.83343514348053e-08
US National,Season onset,Bin,week,20,21,9.83343514348053e-08
US National,Season onset,Bin,week,none,none,9.83343514348053e-08
US National,Season peak week,Point,week,NA,NA,5.99939186256195
US National,Season peak week,Bin,week,40,41,1.67875723212672e-06
US National,Season peak week,Bin,week,41,42,2.93019444153028e-06
US National,Season peak week,Bin,week,42,43,2.59444299510493e-06
US National,Season peak week,Bin,week,43,44,2.38078298374335e-06
US National,Season peak week,Bin,week,44,45,1.92294010225425e-06
US National,Season peak week,Bin,week,45,46,1.83137152595642e-06
US National,Season peak week,Bin,week,46,47,1.80084866719048e-06
US National,Season peak week,Bin,week,47,48,2.62496585387088e-06
US National,Season peak week,Bin,week,48,49,4.51738309735919e-06
US National,Season peak week,Bin,week,49,50,7.35600896259162e-06
US National,Season peak week,Bin,week,50,51,1.1262934884632e-05
US National,Season peak week,Bin,week,51,52,1.48035865014811e-05
US National,Season peak week,Bin,week,52,53,1.80084866719048e-05
US National,Season peak week,Bin,week,1,2,1.90462638699468e-05
US National,Season peak week,Bin,week,2,3,1.9443061033904e-05
US National,Season peak week,Bin,week,3,4,1.94125381751381e-05
US National,Season peak week,Bin,week,4,5,2.06029296670098e-05
US National,Season peak week,Bin,week,5,6,2.36552155436038e-05
US National,Season peak week,Bin,week,6,7,0.999716892724206
US National,Season peak week,Bin,week,7,8,2.47540384591777e-05
US National,Season peak week,Bin,week,8,9,2.15491382887539e-05
US National,Season peak week,Bin,week,9,10,1.81611009657345e-05
US National,Season peak week,Bin,week,10,11,1.24838492352696e-05
US National,Season peak week,Bin,week,11,12,1.03167262628878e-05
US National,Season peak week,Bin,week,12,13,6.50136891714531e-06
US National,Season peak week,Bin,week,13,14,4.63947453242294e-06
US National,Season peak week,Bin,week,14,15,2.10607725484989e-06
US National,Season peak week,Bin,week,15,16,1.09882291557385e-06
US National,Season peak week,Bin,week,16,17,6.10457175318809e-07
US National,Season peak week,Bin,week,17,18,1.52614293829702e-07
US National,Season peak week,Bin,week,18,19,6.10457175318809e-08
US National,Season peak week,Bin,week,19,20,6.10457175318809e-08
US National,Season peak week,Bin,week,20,21,4.73880384847448e-06
US National,Season peak percentage,Point,percent,NA,NA,5.0997967009178
US National,Season peak percentage,Bin,percent,0,0.1,5.01675753122917e-08
US National,Season peak percentage,Bin,percent,0.1,0.2,5.01675753122917e-08
US National,Season peak percentage,Bin,percent,0.2,0.3,5.01675753122917e-08
US National,Season peak percentage,Bin,percent,0.3,0.4,5.01675753122917e-08
US National,Season peak percentage,Bin,percent,0.4,0.5,6.02010903747498e-07
US National,Season peak percentage,Bin,percent,0.5,0.6,3.26089239529896e-06
US National,Season peak percentage,Bin,percent,0.6,0.7,7.47496872153147e-06
US National,Season peak percentage,Bin,percent,0.7,0.8,6.97329296840855e-06
US National,Season peak percentage,Bin,percent,0.8,0.9,4.51508177810625e-06
US National,Season peak percentage,Bin,percent,0.9,1,1.40469210874417e-06
US National,Season peak percentage,Bin,percent,1,1.1,2.00670301249166e-07
US National,Season peak percentage,Bin,percent,1.1,1.2,2.50837876561458e-07
US National,Season peak percentage,Bin,percent,1.2,1.3,1.00335150624583e-07
US National,Season peak percentage,Bin,percent,1.3,1.4,1.50502725936875e-07
US National,Season peak percentage,Bin,percent,1.4,1.5,1.50502725936875e-07
US National,Season peak percentage,Bin,percent,1.5,1.6,4.01340602498333e-07
US National,Season peak percentage,Bin,percent,1.6,1.7,4.01340602498333e-07
US National,Season peak percentage,Bin,percent,1.7,1.8,7.02346054372083e-07
US National,Season peak percentage,Bin,percent,1.8,1.9,1.05351908155812e-06
US National,Season peak percentage,Bin,percent,1.9,2,1.30435695811958e-06
US National,Season peak percentage,Bin,percent,2,2.1,2.00670301249167e-06
US National,Season peak percentage,Bin,percent,2.1,2.2,2.15720573842854e-06
US National,Season peak percentage,Bin,percent,2.2,2.3,2.95988694342521e-06
US National,Season peak percentage,Bin,percent,2.3,2.4,3.91307087435875e-06
US National,Season peak percentage,Bin,percent,2.4,2.5,4.26424390154479e-06
US National,Season peak percentage,Bin,percent,2.5,2.6,5.31776298310293e-06
US National,Season peak percentage,Bin,percent,2.6,2.7,5.9699414621627e-06
US National,Season peak percentage,Bin,percent,2.7,2.8,6.82279024247165e-06
US National,Season peak percentage,Bin,percent,2.8,2.9,7.1237956943454e-06
US National,Season peak percentage,Bin,percent,2.9,3,9.23083385746166e-06
US National,Season peak percentage,Bin,percent,3,3.1,8.67899052902645e-06
US National,Season peak percentage,Bin,percent,3.1,3.2,8.12714720059124e-06
US National,Season peak percentage,Bin,percent,3.2,3.3,1.08863638427673e-05
US National,Season peak percentage,Bin,percent,3.3,3.4,1.10870341440165e-05
US National,Season peak percentage,Bin,percent,3.4,3.5,1.06856935415181e-05
US National,Season peak percentage,Bin,percent,3.5,3.6,1.21907208008869e-05
