Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,51
US National,Season onset,Bin,week,40,41,0.0167785234899329
US National,Season onset,Bin,week,41,42,0.011287370347773
US National,Season onset,Bin,week,42,43,0.00640634533251983
US National,Season onset,Bin,week,43,44,0.00284726459223104
US National,Season onset,Bin,week,44,45,0.00660972137482205
US National,Season onset,Bin,week,45,46,0.0123042505592841
US National,Season onset,Bin,week,46,47,0.0225747406955461
US National,Season onset,Bin,week,47,48,0.0414887126296522
US National,Season onset,Bin,week,48,49,0.066605653853976
US National,Season onset,Bin,week,49,50,0.0938580435224731
US National,Season onset,Bin,week,50,51,0.117551352450681
US National,Season onset,Bin,week,51,52,0.137990644702054
US National,Season onset,Bin,week,52,53,0.125483018100468
US National,Season onset,Bin,week,1,2,0.0828757372381533
US National,Season onset,Bin,week,2,3,0.0435224730526744
US National,Season onset,Bin,week,3,4,0.0330486068741102
US National,Season onset,Bin,week,4,5,0.04128533658735
US National,Season onset,Bin,week,5,6,0.0358958714663413
US National,Season onset,Bin,week,6,7,0.0275574537319504
US National,Season onset,Bin,week,7,8,0.0193207240187106
US National,Season onset,Bin,week,8,9,0.0188122839129551
US National,Season onset,Bin,week,9,10,0.0164734594264796
US National,Season onset,Bin,week,10,11,0.0119991864958308
US National,Season onset,Bin,week,11,12,0.00508440105755542
US National,Season onset,Bin,week,12,13,0.00111856823266219
US National,Season onset,Bin,week,13,14,0.000305064063453325
US National,Season onset,Bin,week,14,15,0.000203376042302217
US National,Season onset,Bin,week,15,16,0.000101688021151108
US National,Season onset,Bin,week,16,17,0.000101688021151108
US National,Season onset,Bin,week,17,18,0.000101688021151108
US National,Season onset,Bin,week,18,19,0.000101688021151108
US National,Season onset,Bin,week,19,20,0.000101688021151108
US National,Season onset,Bin,week,20,21,0.000101688021151108
US National,Season onset,Bin,week,none,none,0.000101688021151108
US National,Season peak week,Point,week,NA,NA,4
US National,Season peak week,Bin,week,40,41,0.00703446889759823
US National,Season peak week,Bin,week,41,42,0.00824037785147221
US National,Season peak week,Bin,week,42,43,0.00813988543864938
US National,Season peak week,Bin,week,43,44,0.00924530197970053
US National,Season peak week,Bin,week,44,45,0.00673299165912973
US National,Season peak week,Bin,week,45,46,0.00592905235654708
US National,Season peak week,Bin,week,46,47,0.00552708270525575
US National,Season peak week,Bin,week,47,48,0.00753693096171239
US National,Season peak week,Bin,week,48,49,0.0134659833182595
US National,Season peak week,Bin,week,49,50,0.0258265500954678
US National,Season peak week,Bin,week,50,51,0.0386895789367903
US National,Season peak week,Bin,week,51,52,0.0523565470806954
US National,Season peak week,Bin,week,52,53,0.0592905235654708
US National,Season peak week,Bin,week,1,2,0.0644156366194352
US National,Season peak week,Bin,week,2,3,0.0578836297859512
US National,Season peak week,Bin,week,3,4,0.0628077580142699
US National,Season peak week,Bin,week,4,5,0.0713496131042106
US National,Season peak week,Bin,week,5,6,0.0820018088634308
US National,Season peak week,Bin,week,6,7,0.0826047633403678
US National,Season peak week,Bin,week,7,8,0.0773791578735805
US National,Season peak week,Bin,week,8,9,0.0707466586272736
US National,Season peak week,Bin,week,9,10,0.0564767360064315
US National,Season peak week,Bin,week,10,11,0.0439151844035775
US National,Season peak week,Bin,week,11,12,0.031655110039192
US National,Season peak week,Bin,week,12,13,0.0223093156466687
US National,Season peak week,Bin,week,13,14,0.0141694302080193
US National,Season peak week,Bin,week,14,15,0.00803939302582655
US National,Season peak week,Bin,week,15,16,0.00321575721033062
US National,Season peak week,Bin,week,16,17,0.00170837101798814
US National,Season peak week,Bin,week,17,18,0.000703446889759823
US National,Season peak week,Bin,week,18,19,0.000200984825645664
US National,Season peak week,Bin,week,19,20,0.000200984825645664
US National,Season peak week,Bin,week,20,21,0.000200984825645664
US National,Season peak percentage,Point,percent,NA,NA,4.7
US National,Season peak percentage,Bin,percent,0,0.1,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.1,0.2,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.2,0.3,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.3,0.4,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.4,0.5,0.00138189714736946
US National,Season peak percentage,Bin,percent,0.5,0.6,0.00602112328496693
US National,Season peak percentage,Bin,percent,0.6,0.7,0.0133254367782055
