Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,51
US National,Season onset,Bin,week,40,41,0.0172448772570501
US National,Season onset,Bin,week,41,42,0.0110570095354027
US National,Season onset,Bin,week,42,43,0.00628930817610063
US National,Season onset,Bin,week,43,44,0.00192736863461148
US National,Season onset,Bin,week,44,45,0.00497058226820856
US National,Season onset,Bin,week,45,46,0.0147088658957192
US National,Season onset,Bin,week,46,47,0.0252586731588558
US National,Season onset,Bin,week,47,48,0.0384459322377764
US National,Season onset,Bin,week,48,49,0.061067153580848
US National,Season onset,Bin,week,49,50,0.0947453844593224
US National,Season onset,Bin,week,50,51,0.1175694867113
US National,Season onset,Bin,week,51,52,0.137248934875228
US National,Season onset,Bin,week,52,53,0.124467437614121
US National,Season onset,Bin,week,1,2,0.0821667681071211
US National,Season onset,Bin,week,2,3,0.0452424426861432
US National,Season onset,Bin,week,3,4,0.0370257658754311
US National,Season onset,Bin,week,4,5,0.0374315276932441
US National,Season onset,Bin,week,5,6,0.0386488131466829
US National,Season onset,Bin,week,6,7,0.0276932440657334
US National,Season onset,Bin,week,7,8,0.0225197808886184
US National,Season onset,Bin,week,8,9,0.0194765672550213
US National,Season onset,Bin,week,9,10,0.0166362345303307
US National,Season onset,Bin,week,10,11,0.010752688172043
US National,Season onset,Bin,week,11,12,0.00547778454047474
US National,Season onset,Bin,week,12,13,0.000912964090079124
US National,Season onset,Bin,week,13,14,0.000202880908906472
US National,Season onset,Bin,week,14,15,0.000101440454453236
US National,Season onset,Bin,week,15,16,0.000101440454453236
US National,Season onset,Bin,week,16,17,0.000101440454453236
US National,Season onset,Bin,week,17,18,0.000101440454453236
US National,Season onset,Bin,week,18,19,0.000101440454453236
US National,Season onset,Bin,week,19,20,0.000101440454453236
US National,Season onset,Bin,week,20,21,0.000101440454453236
US National,Season onset,Bin,week,none,none,0.000101440454453236
US National,Season peak week,Point,week,NA,NA,5
US National,Season peak week,Bin,week,40,41,0.00703446889759823
US National,Season peak week,Bin,week,41,42,0.0088433323284092
US National,Season peak week,Bin,week,42,43,0.00954677921816903
US National,Season peak week,Bin,week,43,44,0.00803939302582655
US National,Season peak week,Bin,week,44,45,0.00582855994372425
US National,Season peak week,Bin,week,45,46,0.00542659029243292
US National,Season peak week,Bin,week,46,47,0.00512511305396443
US National,Season peak week,Bin,week,47,48,0.0069339764847754
US National,Season peak week,Bin,week,48,49,0.0144709074464878
US National,Season peak week,Bin,week,49,50,0.025726057682645
US National,Season peak week,Bin,week,50,51,0.0356748065521053
US National,Season peak week,Bin,week,51,52,0.049040297457542
US National,Season peak week,Bin,week,52,53,0.057984122198774
US National,Season peak week,Bin,week,1,2,0.0588885539141795
US National,Season peak week,Bin,week,2,3,0.0580846146115968
US National,Season peak week,Bin,week,3,4,0.0653200683348407
US National,Season peak week,Bin,week,4,5,0.0692392724349312
US National,Season peak week,Bin,week,5,6,0.0795899909556829
US National,Season peak week,Bin,week,6,7,0.0856195357250528
US National,Season peak week,Bin,week,7,8,0.0833082102301276
US National,Season peak week,Bin,week,8,9,0.0756707868555924
US National,Season peak week,Bin,week,9,10,0.0608984021706361
US National,Season peak week,Bin,week,10,11,0.0439151844035775
US National,Season peak week,Bin,week,11,12,0.0327605265802432
US National,Season peak week,Bin,week,12,13,0.0205004522158577
US National,Season peak week,Bin,week,13,14,0.0128630288413225
US National,Season peak week,Bin,week,14,15,0.0072354537232439
US National,Season peak week,Bin,week,15,16,0.00301477238468496
US National,Season peak week,Bin,week,16,17,0.0025123103205708
US National,Season peak week,Bin,week,17,18,0.000401969651291327
US National,Season peak week,Bin,week,18,19,0.000301477238468496
US National,Season peak week,Bin,week,19,20,0.000100492412822832
US National,Season peak week,Bin,week,20,21,0.000100492412822832
US National,Season peak percentage,Point,percent,NA,NA,4.7
US National,Season peak percentage,Bin,percent,0,0.1,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.1,0.2,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.2,0.3,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.3,0.4,9.87069390978186e-05
US National,Season peak percentage,Bin,percent,0.4,0.5,0.0015793110255651
US National,Season peak percentage,Bin,percent,0.5,0.6,0.00651465798045603
US National,Season peak percentage,Bin,percent,0.6,0.7,0.0149047478037706
US National,Season peak percentage,Bin,percent,0.7,0.8,0.0130293159609121
US National,Season peak percentage,Bin,percent,0.8,0.9,0.00819267594511894
US National,Season peak percentage,Bin,percent,0.9,1,0.00345474286842365
US National,Season peak percentage,Bin,percent,1,1.1,0.00128319020827164
US National,Season peak percentage,Bin,percent,1.1,1.2,0.000296120817293456
US National,Season peak percentage,Bin,percent,1.2,1.3,0.000197413878195637
US National,Season peak percentage,Bin,percent,1.3,1.4,0.000197413878195637
US National,Season peak percentage,Bin,percent,1.4,1.5,0.000197413878195637
US National,Season peak percentage,Bin,percent,1.5,1.6,0.000592241634586912
US National,Season peak percentage,Bin,percent,1.6,1.7,0.00118448326917382
US National,Season peak percentage,Bin,percent,1.7,1.8,0.0015793110255651
US National,Season peak percentage,Bin,percent,1.8,1.9,0.00207284572105419
US National,Season peak percentage,Bin,percent,1.9,2,0.00236896653834765
US National,Season peak percentage,Bin,percent,2,2.1,0.00434310532030402
US National,Season peak percentage,Bin,percent,2.1,2.2,0.00562629552857566
US National,Season peak percentage,Bin,percent,2.2,2.3,0.00750172737143421
US National,Season peak percentage,Bin,percent,2.3,2.4,0.00602112328496693
US National,Season peak percentage,Bin,percent,2.4,2.5,0.0084887967624124
US National,Season peak percentage,Bin,percent,2.5,2.6,0.0084887967624124
US National,Season peak percentage,Bin,percent,2.6,2.7,0.0111538841180535
US National,Season peak percentage,Bin,percent,2.7,2.8,0.0129306090218142
US National,Season peak percentage,Bin,percent,2.8,2.9,0.0134241437173033
US National,Season peak percentage,Bin,percent,2.9,3,0.0159905241338466
US National,Season peak percentage,Bin,percent,3,3.1,0.0176685420985095
US National,Season peak percentage,Bin,percent,3.1,3.2,0.0199388016977594
US National,Season peak percentage,Bin,percent,3.2,3.3,0.0177672490376073
US National,Season peak percentage,Bin,percent,3.3,3.4,0.0202349225150528
US National,Season peak percentage,Bin,percent,3.4,3.5,0.0237883723225743
US National,Season peak percentage,Bin,percent,3.5,3.6,0.023393544566183
US National,Season peak percentage,Bin,percent,3.6,3.7,0.0196426808804659
US National,Season peak percentage,Bin,percent,3.7,3.8,0.0198400947586615
US National,Season peak percentage,Bin,percent,3.8,3.9,0.0224064751752048
US National,Season peak percentage,Bin,percent,3.9,4,0.0203336294541506
US National,Season peak percentage,Bin,percent,4,4.1,0.0197413878195637
US National,Season peak percentage,Bin,percent,4.1,4.2,0.0184581976112921
US National,Season peak percentage,Bin,percent,4.2,4.3,0.0184581976112921
US National,Season peak percentage,Bin,percent,4.3,4.4,0.0182607837330964
US National,Season peak percentage,Bin,percent,4.4,4.5,0.020136215575955
US National,Season peak percentage,Bin,percent,4.5,4.6,0.0171750074030204
US National,Season peak percentage,Bin,percent,4.6,4.7,0.0152995755601619
US National,Season peak percentage,Bin,percent,4.7,4.8,0.0170763004639226
US National,Season peak percentage,Bin,percent,4.8,4.9,0.0162866449511401
